Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Distributed Mining of Maximal Frequent Itemsets on a Data Grid System,The Journal of Supercomputing,,,,10.1007/s11227-006-5210-7,Congnan LuoAnil L. PereiraSoon M. Chung,2006,https://link.springer.com/article/10.1007/s11227-006-5210-7,Article
A Joint Data and Computation Scheduling Algorithm for the Grid,Euro-Par 2007 Parallel Processing,,,,10.1007/978-3-540-74466-5_62,Fangpeng DongSelim G. Akl,2007,https://link.springer.com/chapter/10.1007/978-3-540-74466-5_62,Conference paper
Collaborative Cache Based on Path Scores,Web Information Systems Engineering – WISE 2007,,,,10.1007/978-3-540-76993-4_8,Bernd AmannCamelia Constantin,2007,https://link.springer.com/chapter/10.1007/978-3-540-76993-4_8,Conference paper
A Survey of Distributed Mining of Data Streams,Data Streams,,,,10.1007/978-0-387-47534-9_13,Srinivasan ParthasarathyAmol GhotingMatthew Eric Otey,2007,https://link.springer.com/chapter/10.1007/978-0-387-47534-9_13,Chapter
A Cooperative Grid Computing Approach to Automated Theorem Finding and Automated Problem Proposing,Knowledge-Based Intelligent Information and Engineering Systems,,,,10.1007/978-3-540-74827-4_106,Jingde ChengYuichi GotoShinsuke NaraTakahiro Koh,2007,https://link.springer.com/chapter/10.1007/978-3-540-74827-4_106,Conference paper
QoS-Based Services Selecting and Optimizing Algorithms on Grid,"Advances in Web and Network Technologies, and Information Management",,,,10.1007/978-3-540-72909-9_14,Qing ZhuShan WangGuorong LiGuangqiang LiuXiaoyong Du,2007,https://link.springer.com/chapter/10.1007/978-3-540-72909-9_14,Conference paper
Flexible Grid service management through resource partitioning,The Journal of Supercomputing,,,,10.1007/s11227-006-8752-9,Bruno VolckaertPieter ThysebaertMarc De LeenheerFilip De TurckBart DhoedtPiet Demeester,2006,https://link.springer.com/article/10.1007/s11227-006-8752-9,Article
"PSO vs. ACO, Data Grid Replication Services Performance Evaluation",Frontiers of High Performance Computing and Networking – ISPA 2006 Workshops,,,,10.1007/11942634_85,Víctor MéndezFelix García Carballeira,2006,https://link.springer.com/chapter/10.1007/11942634_85,Conference paper
Web Intelligence Meets Brain Informatics,Web Intelligence Meets Brain Informatics,,,,10.1007/978-3-540-77028-2_1,Ning ZhongJiming LiuYiyu YaoJinglong WuShengfu LuYulin QinKuncheng LiBenjamin Wah,2007,https://link.springer.com/chapter/10.1007/978-3-540-77028-2_1,Conference paper
SDRD: A Novel Approach to Resource Discovery in Grid Environments,Advanced Parallel Processing Technologies,,,,10.1007/978-3-540-76837-1_34,Yiduo MeiXiaoshe DongWeiguo WuShangyuan GuanJunyang Li,2007,https://link.springer.com/chapter/10.1007/978-3-540-76837-1_34,Conference paper
Simultaneous Scheduling of Replication and Computation for Data-Intensive Applications on the Grid,Journal of Grid Computing,,,,10.1007/s10723-005-9016-2,Frédéric DesprezAntoine Vernois,2006,https://link.springer.com/article/10.1007/s10723-005-9016-2,Article
Using Classification Techniques to Improve Replica Selection in Data Grid,"On the Move to Meaningful Internet Systems 2006: CoopIS, DOA, GADA, and ODBASE",,,,10.1007/11914952_24,Hai JinJin HuangXia XieQin Zhang,2006,https://link.springer.com/chapter/10.1007/11914952_24,Conference paper
Improving the performance of I/O-intensive applications on clusters of workstations,Cluster Computing,,,,10.1007/s10586-006-9742-7,Xiao QinHong JiangYifeng ZhuDavid R. Swanson,2006,https://link.springer.com/article/10.1007/s10586-006-9742-7,Article
DECO: Data Replication and Execution CO-scheduling for Utility Grids,Service-Oriented Computing – ICSOC 2006,,,,10.1007/11948148_5,Vikas AgarwalGargi DasguptaKoustuv DasguptaAmit PurohitBalaji Viswanathan,2006,https://link.springer.com/chapter/10.1007/11948148_5,Conference paper
Optimizing Server Placement in Hierarchical Grid Environments,Advances in Grid and Pervasive Computing,,,,10.1007/11745693_1,Chien-Min WangChun-Chen HsuPangfeng LiuHsi-Min ChenJan-Jan Wu,2006,https://link.springer.com/chapter/10.1007/11745693_1,Conference paper
Performance of Real-Time Data Scheduling Heuristics Under Data Replacement Policies and Access Patterns in Data Grids,Parallel and Distributed Processing and Applications,,,,10.1007/11946441_79,Atakan Doğan,2006,https://link.springer.com/chapter/10.1007/11946441_79,Conference paper
